Date,Beef,Whole chicken,Milk,Eggs,Potatoes,Roasted or ground coffee,Baby food,Infant formula,Shampoo,Laundry detergent,Gas
22-Jul,21.65,5.85,5.99,4.29,5.14,6.34,1.39,31.91,5.93,14.62,187.8
22-Aug,21.9,6.08,6.01,4.39,4.84,6.45,1.41,31.63,6.07,14.62,169.6
22-Sep,23.02,6.55,6.24,4.68,4.73,6.28,1.45,31.34,6.08,14.94,156.4
22-Oct,19.8,5.94,6.23,4.52,4.68,5.86,1.44,33.29,6.11,14.82,171.5
22-Nov,22,6.37,6.27,4.59,4.68,6.26,1.43,34.42,6.12,14.95,165.3
22-Dec,18.89,6.58,6.3,4.36,4.67,6.4,1.49,34.99,6.27,15.51,143.6
23-Jan,23.03,5.86,6.29,4.38,4.59,6.4,1.48,36.58,6.31,15.03,150.3
23-Feb,22.46,6.39,6.42,4.52,4.76,6.58,1.57,34.34,6,16.07,148.5
23-Mar,23.8,6.21,6.45,4.45,4.81,6.3,1.63,36.25,6.37,15.26,150.3
23-Apr,22.06,5.96,6.46,4.5,5.13,6.38,1.62,35.9,6.44,15.97,160.1
23-May,23.71,5.98,6.45,4.38,5.21,6.62,1.63,36.47,6.51,15.65,158.8
23-Jun,23.76,6.14,6.43,4.57,5.27,6.74,1.71,38.7,6.54,16.22,161.6
23-Jul,25.07,6.99,6.39,4.71,5.29,6.75,1.73,37.49,6.61,15.54,163.1
23-Aug,25.31,6.98,6.4,4.62,5.17,6.71,1.7,38.6,6.57,15.35,170.6
23-Sep,24.83,6.16,6.37,4.48,4.99,6.57,1.67,38.49,6.65,16.09,168.3
23-Oct,21.59,6.74,6.38,4.47,4.99,6.39,1.54,40.18,6.78,15,157.4
23-Nov,24.26,5.9,6.4,4.65,4.97,6.56,1.64,41.16,6.63,15.6,152.2
23-Dec,22.45,6.47,6.42,4.41,5.08,6.56,1.57,41.49,6.8,15.79,145.4
